title,price,bedrooms,bathrooms,square_feet,address,latitude,longitude,description,search_name,search_zip,url
Experience the Ultimate in Comfort: 2 BR with Private Patio (Carson),"3,500",2,2,1172,"615 E Carson St, Carson, CA 90745",33.831675,-118.265529,"QR Code Link to This Post
Beds:
2
Baths:
2
Square Feet:
1172
Use this link for more information:
https://amc.touraptnow.com/zjbbeq
Find a space that fits you perfectly
Call Now -
show contact info
x 38
OR Text
38
to
show contact info
to text our team.
Community Info
Resort-style living means choosing the home you want. Take your pick from a variety of spacious Studio, One Bedroom, Two Bedrooms . Enjoy GE Stainless Steel Appliances, Kitchen Islands*, Private Patios & Balconies*. Explore our floor plans, plan a visit, or apply now for one of our comfortable loft apartment homes in Carson, CA.
Residence Features
✩  Walk-In Closets [ 1 ]
✩  Wood-Style Plank Flooring
✩  Kitchen Islands [ 1 ]
✩  GE Stainless Steel Appliances
✩  Private Patios & Balconies [ 1 ]
✩  Studio, 1- & 2-Bedroom Homes
✩  Modern, Flat-Panel Cabinets with Under-Cabinet Lighting
✩  Subway Tile Backsplashes
✩  Washers & Dryers
1. In Select Units
Community Features
✩  Clubhouse Lounge with Big Screens & Billiards
✩  Rooftop Deck with BBQs, Covered Seating & Yoga Lawn
✩  Indoor/Outdoor Bar with Beer on Tap
✩  24-Hour Fitness Center
✩  24/7 Package Lockers
✩  Entertainment Kitchen with Espresso Bar
✩  Courtyard with Resort-Worthy Pool & Spa
✩  Conference Room
✩  Private Parking Garage
Pet Policy
Dogs and domestic cats are allowed. Pending approval by management, most breed of dogs are acceptable. Breeds and
crossbreeds that are NEVER allowed include: Rottweiler, Pitbull (American Pit Bull Terrier, American Staffordshire
Terrier, Staffordshire Bull Terrier), Mastiff, Chow Chow, and Doberman Pinscher. Dogs must not act aggressive at any
time or bark excessively. In other words, dogs must be ""apartment friendly""
A maximum of two pets is allowed per apartment.
$300 Additional deposit is required
$50 Monthly pet rent for cats or dogs up to 25lbs. Max
Income Requirements
We are a income based program**
Please contact Leasing Office for income restrictions.
Office Hours
By Appointment Prices are subject to change, based on availability and qualification of the applicant, additional fees may apply.
AMC-CA, Inc. dba Apartment Management Consultants-BRE #01525033
Apartment Management Consultants, Broker License # 01525033
Equal Housing Opportunity
kILfzLT3IgEB",carson,,https://losangeles.craigslist.org/wst/apa/d/carson-experience-the-ultimate-in/7845063550.html
The pinnacle of comfort: Exceptional 3 BR spaces available. (Carson),"4,199",3,2,1325,"285 E Del Amo Blvd, Carson, CA 90745",33.846401,-118.275006,"QR Code Link to This Post
Evolve South Bay
Bedroom:
3 |
Bathroom:
2
Square Footage:
1325 sq ft
Monthly Rent:
$4199 - $5451
We accept call and text messaging:
show contact info
Community Description
Evolve South Bay is central to the best that the neighborhood has to offer, including restaurants, shopping, sport venues, and nature trails and parks. With easy access to LAX and the 110, 405, and 710 freeways, the entirely of LA and beyond is at your fingertips. Learn more about the experiences awaiting you at Evolve South Bay when you schedule a tour today.
Community Amenities
● Attached garages available (single-car garages*)
● Barbecue pavilion and picnic area
● Fenced dog park
● Outdoor social lounge featuring barbecue pavilion and firepits
● Package locker with 24/7 access to packages
● Relaxing resort-style pool with cabanas
● State-of-the-art fitness center with yoga room
● Two-story resident social lounge with demonstration kitchen
● Close proximity to beaches, LAX, sporting venues, and restaurants
● Controlled-entry access
● Courtyard with recreational games available
● Co-working lounge with complimentary Wi-Fi and private offices
● Easy access to the 110, 405 and 710 freeways
● Move-in with NO SECURITY DEPOSIT: Only a small one-time payment
● Onsite playground
● Virtual moving concierge - Complimentary address change, set up home services and digital moving announcements
Apartment Features
● 2-inch faux wood blinds
● Ceiling fans in living areas
● Front-loading washer and dryer
● Gourmet kitchen island
● Oversized walk-in closets in select homes
● Private balcony or patio
● Stainless steel appliances including built-in microwave, refrigerator, and dishwasher
● Wood-style plank flooring
● Polished quartz kitchen countertops
● Vaulted ceilings in select homes
Contact Information
Visit Us:
285 E Del Amo Blvd
Carson, CA 90745
We accept call and text messaging:
show contact info
Hours:
Tue - SAT: 9:00 AM - 6:00 PM
Website:
www.apts-rental.com?n=evolve_south_bay&rp=5q7k1j&t=wb
Online Application:
www.apts-rental.com?n=evolve_south_bay&rp=5q7k1j&t=ap
Additional Details
Pet Policy:
Dogs and cats are welcome at our community. All pet residents must have their health check, shots and be spayed or neutered upon move-in. A signed Animal Addendum is required to be on file at our leasing office. Two (2) max pets allowed.
Lease Terms:
3-Month, 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month, 14-Month
Prices and availability subject to change
EQUAL HOUSING OPPORTUNITY
337B1AE0FC0C468",carson,,https://losangeles.craigslist.org/wst/apa/d/carson-the-pinnacle-of-comfort/7843375148.html
Purrfect home for you & your pet! 1 BR / 1 BA in Carson. (Carson),"3,253",1,1,931,"285 E Del Amo Blvd, Carson, CA 90745",33.846401,-118.275006,"QR Code Link to This Post
Welcome to Evolve South Bay
Rental Information
Pricing:
$3253 - $3924/Month | 1 Bedroom 1 Bath | 931 sq ft
Lease Term:
3-Month, 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month, 14-Month
Call or text for details at
show contact info
Apartment Amenities
− 2-inch faux wood blinds
− Ceiling fans in living areas
− Front-loading washer and dryer
− Gourmet kitchen island
− Oversized walk-in closets in select homes
− Private balcony or patio
− Stainless steel appliances including built-in microwave, refrigerator, and dishwasher
− Wood-style plank flooring
− Polished quartz kitchen countertops
− Vaulted ceilings in select homes
Community Features
− Attached garages available (single-car garages*)
− Barbecue pavilion and picnic area
− Fenced dog park
− Outdoor social lounge featuring barbecue pavilion and firepits
− Package locker with 24/7 access to packages
− Relaxing resort-style pool with cabanas
− State-of-the-art fitness center with yoga room
− Two-story resident social lounge with demonstration kitchen
− Close proximity to beaches, LAX, sporting venues, and restaurants
− Controlled-entry access
− Courtyard with recreational games available
− Co-working lounge with complimentary Wi-Fi and private offices
− Easy access to the 110, 405 and 710 freeways
− Move-in with NO SECURITY DEPOSIT: Only a small one-time payment
− Onsite playground
− Virtual moving concierge - Complimentary address change, set up home services and digital moving announcements
About Community
Description:
Evolve South Bay is central to the best that the neighborhood has to offer, including restaurants, shopping, sport venues, and nature trails and parks. With easy access to LAX and the 110, 405, and 710 freeways, the entirely of LA and beyond is at your fingertips. Learn more about the experiences awaiting you at Evolve South Bay when you schedule a tour today.
Location:
285 E Del Amo Blvd
Carson, CA 90745
show contact info
Office Hours:
Tue - SAT: 9:00 AM - 6:00 PM
Additional Information
Call or text for details at
show contact info
Pet Policy:
Dogs and cats are welcome at our community. All pet residents must have their health check, shots and be spayed or neutered upon move-in. A signed Animal Addendum is required to be on file at our leasing office. Two (2) max pets allowed.
Website:
www.leaseaptsnow.com?n=evolve_south_bay&rp=og8kkf&t=wb
Online Application:
www.leaseaptsnow.com?n=evolve_south_bay&rp=og8kkf&t=ap
Prices and availability subject to change
EQUAL HOUSING OPPORTUNITY
553D400927CD472",carson,,https://losangeles.craigslist.org/wst/apa/d/carson-purrfect-home-for-you-your-pet/7839355905.html
Downtown Carson (Carson),949,,,,"215th PL, Carson, CA 90746",33.833217,-118.240504,"QR Code Link to This Post
This beautifully furnished 3 bedroom & 2bath home in Carson is available immediately for mid to long-term stays (12+ months). Monthly fee varies based on length of stay. Price ranging monthly from $949 to $1050.  There is a $199 all inclusive add on utility fee.
Great location; centrally located next t malls (Carson mall), shopping centers (Del Amo Mall/ South Bay Mall),  and colleges.   20 minutes drive to DTLA.
-5-10 mins. away from the beach ( enjoy a romantic sunset and long morning walks by the strands)  and hiking trails. Fine dining restaurants and bars are also close by.
-2 mins away from Dignity Health Sports Park
-25-30 mins away from major theme parks (Disneyland and California Adventure, Knotts Berry Farm, Universal Studios).
adjacent to a kids' friendly park with BBQ grills and exercise equipment.
Accessible to major freeways (405, 91, 110, 710, 105, and 605)
few blocks from public transportation
Key features:
-Designer modern custom made furnitures
-Full kitchen access with appliances (microwave, dishwasher, refrigerator, and coffee maker)
and kitchen utensils.
-Quality 5-stared bathroom feautures shower panel tower with rainfall shower head and 8 multi-functional nozzles.
-Wide-screen TV, cable,  5G internet
-In-unit  washer & amp; dryer
-Security camera for safety
No Smoking
NO PETS
Visitors ok.
Make your appointment today to view and enjoy the beautiful Sunny California Weather!
Call:
show contact info
two one three five five zero seven three seven three (response faster with text)",carson,,https://losangeles.craigslist.org/lgb/roo/d/carson-downtown-carson/7845045539.html
Downtown Carson (Carson),949,,,,"215th PL, Carson, CA 90746",33.833217,-118.240504,"QR Code Link to This Post
This beautifully furnished 3 bedroom & 2bath home in Carson is available immediately for mid to long-term stays (12+ months). Monthly fee varies based on length of stay. Price ranging monthly from $949 to $1050.  There is a $199 all inclusive add on utility fee.
Great location; centrally located next t malls (Carson mall), shopping centers (Del Amo Mall/ South Bay Mall),  and colleges.   20 minutes drive to DTLA.
-5-10 mins. away from the beach ( enjoy a romantic sunset and long morning walks by the strands)  and hiking trails. Fine dining restaurants and bars are also close by.
-2 mins away from Dignity Health Sports Park
-25-30 mins away from major theme parks (Disneyland and California Adventure, Knotts Berry Farm, Universal Studios).
adjacent to a kids' friendly park with BBQ grills and exercise equipment.
Accessible to major freeways (405, 91, 110, 710, 105, and 605)
few blocks from public transportation
Key features:
-Designer modern custom made furnitures
-Full kitchen access with appliances (microwave, dishwasher, refrigerator, and coffee maker)
and kitchen utensils.
-Quality 5-stared bathroom feautures shower panel tower with rainfall shower head and 8 multi-functional nozzles.
-Wide-screen TV, cable,  5G internet
-In-unit  washer & amp; dryer
-Security camera for safety
No Smoking
NO PETS
Visitors ok.
Make your appointment today to view and enjoy the beautiful Sunny California Weather!
Call:
show contact info
two one three five five zero seven three seven three (response faster with text)",carson,,https://losangeles.craigslist.org/lgb/roo/d/carson-downtown-carson/7845045289.html
Indulge in Luxury: Indoor/Outdoor Bar & Entertainment Kitchen! (Carson),"2,725",1,1,666,"615 E Carson St, Carson, CA 90745",33.831675,-118.265529,"QR Code Link to This Post
Union South Bay
615 E Carson St, Carson, CA, 90745
Use the link below for more details:
https://amc.touraptnow.com/k4i45k
Call Now -
show contact info
x 37
OR Text
37
to
show contact info
to chat!
Find a space that fits you perfectly
1 Bedroom, 1 Bath | Approximately 666 Sq. Ft.
Community Info:
Resort-style living means choosing the home you want. Take your pick from a variety of spacious Studio, One Bedroom, Two Bedrooms . Enjoy GE Stainless Steel Appliances, Kitchen Islands*, Private Patios & Balconies*. Explore our floor plans, plan a visit, or apply now for one of our comfortable loft apartment homes in Carson, CA.
Unit Highlights
✧  Subway Tile Backsplashes
✧  Walk-In Closets [ 1 ]
✧  Kitchen Islands [ 1 ]
✧  Private Patios & Balconies [ 1 ]
✧  Wood-Style Plank Flooring
✧  Modern, Flat-Panel Cabinets with Under-Cabinet Lighting
✧  GE Stainless Steel Appliances
✧  Studio, 1- & 2-Bedroom Homes
✧  Washers & Dryers
1. In Select Units
Community Highlights
✧  24/7 Package Lockers
✧  Indoor/Outdoor Bar with Beer on Tap
✧  24-Hour Fitness Center
✧  Clubhouse Lounge with Big Screens & Billiards
✧  Private Parking Garage
✧  Rooftop Deck with BBQs, Covered Seating & Yoga Lawn
✧  Entertainment Kitchen with Espresso Bar
✧  Conference Room
✧  Courtyard with Resort-Worthy Pool & Spa
Office Hours
By Appointment
Pet Policy
Dogs and domestic cats are allowed. Pending approval by management, most breed of dogs are acceptable. Breeds and
crossbreeds that are NEVER allowed include: Rottweiler, Pitbull (American Pit Bull Terrier, American Staffordshire
Terrier, Staffordshire Bull Terrier), Mastiff, Chow Chow, and Doberman Pinscher. Dogs must not act aggressive at any
time or bark excessively. In other words, dogs must be ""apartment friendly""
A maximum of two pets is allowed per apartment.
$300 Additional deposit is required
$50 Monthly pet rent for cats or dogs up to 25lbs. Max
Income Requirements
We are a income based program**
Please contact Leasing Office for income restrictions.
Prices are subject to change, based on availability and qualification of the applicant, additional fees may apply.
AMC-CA, Inc. dba Apartment Management Consultants-BRE #01525033
Apartment Management Consultants, Broker License # 01525033
Equal Housing Opportunity
uImpj7jc8pyS",carson,,https://losangeles.craigslist.org/wst/apa/d/carson-indulge-in-luxury-indoor-outdoor/7845040417.html
Rent Storage Units From Your Phone! (Torrance),,,,,"735 W Carson St, Torrance, CA 90502",33.828600,-118.292000,"QR Code Link to This Post
US Storage Centers
735 W. Carson St.
Torrance, CA 90502
Call today to rent your unit over the phone!
show contact info
*Mention this ad and receive 1 month 50% off with your rental!
- Moving, downsizing, or in need of more business storage?
- Looking for temporary or long-term storage?
- We can help!
Facility Features:
• Video Recording System
• Electronic Gated Access
• Alarmed Units & More!
Office Hours:
Mon-Fri (9:30am - 6:00pm)
Sat (8:30am - 5:00pm)
Sun (10:00am - 2:00pm)
Access Hours:
Mon-Sun (6:00am - 8:00pm)",carson,,https://losangeles.craigslist.org/wst/prk/d/torrance-rent-storage-units-from-your/7845021212.html
1bed/1bath Trailer #16 (Carson),"1,395",1,1,,"218 W CARSON, Carson, CA 90745",33.831959,-118.280182,"QR Code Link to This Post
Tiny Home #16
1 Queen sized bed/1 bathroom trailer located at 218 W Carson St. , Carson. This trailer has a queen sized bed on one end and a double bunk bed on the other end.
PERFECT FOR 1 PERSON TO OCCUPY OR TWO ONLY
Walking distance from Market and restaurants and very close to 405 freeway. Utilities (Water, Trash & Electric) included.
Pet Friendly - accept one small pet with requirements (there are limitations)
For applying and touring and more details please call our office, we only accept calls at
show contact info
.
This would be an annual lease.",carson,,https://losangeles.craigslist.org/wst/apa/d/carson-1bed-1bath-trailer-16/7845018721.html
Private Patios & Balconies: Your Own Oasis! (Carson),"3,025",1,1,760,"615 E Carson St, Carson, CA 90745",33.831675,-118.265529,"QR Code Link to This Post
This is a 1 Bedroom, 1 Bath, Approximately 760 Sq. Ft.
Follow This Link for More Information:
https://amc.touraptnow.com/0vqrfj
Call Now -
show contact info
x 36
OR Text
36
to
show contact info
to text our leasing team.
Find a space that fits you perfectly
Community Info:
Resort-style living means choosing the home you want. Take your pick from a variety of spacious Studio, One Bedroom, Two Bedrooms . Enjoy GE Stainless Steel Appliances, Kitchen Islands*, Private Patios & Balconies*. Explore our floor plans, plan a visit, or apply now for one of our comfortable loft apartment homes in Carson, CA.
Features:
‣  Kitchen Islands [ 1 ]
‣  Walk-In Closets [ 1 ]
‣  Subway Tile Backsplashes
‣  Modern, Flat-Panel Cabinets with Under-Cabinet Lighting
‣  GE Stainless Steel Appliances
‣  Private Patios & Balconies [ 1 ]
‣  Wood-Style Plank Flooring
‣  Studio, 1- & 2-Bedroom Homes
‣  Washers & Dryers
1. In Select Units
Community Amenities:
‣  Clubhouse Lounge with Big Screens & Billiards
‣  Private Parking Garage
‣  Entertainment Kitchen with Espresso Bar
‣  Rooftop Deck with BBQs, Covered Seating & Yoga Lawn
‣  Indoor/Outdoor Bar with Beer on Tap
‣  24/7 Package Lockers
‣  Courtyard with Resort-Worthy Pool & Spa
‣  24-Hour Fitness Center
‣  Conference Room
Pet Policy:
Dogs and domestic cats are allowed. Pending approval by management, most breed of dogs are acceptable. Breeds and
crossbreeds that are NEVER allowed include: Rottweiler, Pitbull (American Pit Bull Terrier, American Staffordshire
Terrier, Staffordshire Bull Terrier), Mastiff, Chow Chow, and Doberman Pinscher. Dogs must not act aggressive at any
time or bark excessively. In other words, dogs must be ""apartment friendly""
A maximum of two pets is allowed per apartment.
$300 Additional deposit is required
$50 Monthly pet rent for cats or dogs up to 25lbs. Max
Income Requirements:
We are a income based program**
Please contact Leasing Office for income restrictions.
Office Hours:
By Appointment
Union South Bay
615 E Carson St, Carson, CA, 90745
Prices are subject to change, based on availability and qualification of the applicant, additional fees may apply.
AMC-CA, Inc. dba Apartment Management Consultants-BRE #01525033
Apartment Management Consultants, Broker License # 01525033
Equal Housing Opportunity
mPRvo2nt",carson,,https://losangeles.craigslist.org/wst/apa/d/carson-private-patios-balconies-your/7845012915.html
"16x10 - Major Deal! - 50% off 1 month (Carson, Long Beach, Wilmington, Compton, Harbor City)",,,,,"21640 S. Wilmington Ave, Carson, CA 90810",33.832138,-118.238983,"QR Code Link to This Post
US Storage Centers – Carson - Wilmington
21640 S Wilmington Ave
Carson, Ca 90810
Phone:
show contact info
Moving? Downsizing? Need Small Business Storage? We’re Here For You!
Clean, Safe, & Affordable Storage Units at US Storage Centers – Carson - Wilmington!
Our Location Features:
• 24 Hour Security monitoring system
• Electronic gated access
• Rental by phone or online
• Hassle-free Month-to-month rentals
• Free move-in truck
• Carts & dollies
• On-site management
• Boxes & supplies available
Office Hours:
Mon-Sat 9:00am-6:00pm
Sun 9:00am-2:00pm
Access Hours:
Mon-Sun 6:00am-9:00pm
US Storage Centers – Carson - Wilmington
21640 S Wilmington Ave
Carson, Ca 90810
Phone:
show contact info",carson,,https://losangeles.craigslist.org/wst/prk/d/carson-16x10-major-deal-50-off-month/7845000474.html
